"name","category","url","Sow/ plant outdoors","Article number","Portion contents","Harvest","Thousand grain weight","Pre-cultivation","Plant outdoors","Sow/ plant in greenhouse","Blossoming period"
"Luffa","Conservation varieties","https://www.reinsaat.at/shop/EN/conservation_varieties/luffa/","[10,11]","CV40","8 Seeds","[13,14,15,16,17]","72.00 g","[6,7,8]",,,
"Melothria","Conservation varieties","https://www.reinsaat.at/shop/EN/conservation_varieties/melothria/","[10,11]","CV103","50 Seeds","[13,14,15,16,17,18]","2.92 g","[7,8]",,,
"Phlox de Drummond","New varieties 2023","https://www.reinsaat.at/shop/EN/new_varieties_2023/phlox_de_drummond/",,"B230","0.12 g",,"2.00 g",,"[10]","[3,4,5]","[11,12,13,14]"
"Schlangenhaargurke","Conservation varieties","https://www.reinsaat.at/shop/EN/conservation_varieties/schlangenhaargurke/",,"CV47",,"[15,16]","284.50 g","[7,8,9,10]",,"[10,11]",
"Winter savoury","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/winter_savoury/","[8,9,10,11,17,18,19,20]","Kr15","0.3 g","[11,12,13,14,15,16,17,18]","0.37 g","[5,6,7,8,9,10]",,,
"Lemon balm","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/lemon_balm/","[8,9,10,11,12,13,14,15]","Kr34","0.3 g","[8,9,10,11,12,13,14,15]","0.58 g","[5,6,7,8]",,,
"Coriander, small-fruited","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/coriander_small-fruited/","[6,7,8,9,10]","Kr21","7 g","[12,13,14,15,16]","10.56 g","[5,6,7]",,,
"Oregano Samothrake","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/oregano_samothrake/","[10,11,12,13,14,15,16]","Kr46","0.05 g","[11,12,13,14,15,16,17,18]","0.03 g","[5,6,7,8,9,10]",,,
"Greek mountain tea","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/greek_mountain_tea/","[9,10,11,12]","Kr54","für ca. 50 Pflanzen","[10,11,12,13,14,15,16,17,18]","1.38 g","[5,6,7,8,9,10]",,,
"Thyme","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/thyme/","[8,9,10,11,12,13,14]","Kr33","für ca. 350 Pflanzen","[11,12,13,14,15,16,17,18,19]","0.24 g","[6,7,8,9,10]",,,
"Thai coriander","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/thai_coriander/","[6,7,8,9,10]","Kr38","5 g","[12,13,14,15,16]","10.29 g","[5,6,7]",,,
"Lavander","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/lavander/","[9,10,11]","Kr22","für ca. 200 Pflanzen.","[13,14,15,16]","0.74 g","[4,5,6,7]",,,
"Sage","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/sage/","[9,10,11,12,13,14]","Kr28","100 Pflanzen","[10,11,12,13,14,15,16,17,18]","8.24 g","[4,5,6,7,8]",,,
"Borage","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/borage/","[6,7,8,9,10,11,12,13,14]","Kr40","für ca. 60 Pflanzen","[10,11,12,13,14,15,16,17,18]","18.30 g","[5,6,7,8]",,,
"Buch basil","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/buch_basil/","[10,11]","Kr4","0.5 g","[12,13,14,15,16,17]","1.11 g","[8]",,,
"Garden Rue","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/garden_rue/","[9,10,11,12]","Kr44","0.2 g","[10,11,12,13,14,15,16,17,18]","2.10 g","[5,6,7,8]",,,
"Marjoram, French","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/marjoram_french/","[9,10,11,12]","Kr24","ca. 500 Pflanzen","[11,12,13,14,15,16,17,18]","0.15 g","[6,7,8,9]",,,
"Small-leaved lemon basil","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/small-leaved_lemon_basil/","[10,11]","Kr13","0.8 g","[12,13,14,15,16,17]","1.61 g","[8]",,,
"Lovage","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/lovage/","[7,8,9,10,16,17]","Kr23","ca. 20 Pflanzen","[9,10,11,12,13,14,15,16,17,18]","2.87 g","[4,5,6,7,8]",,,
"Garlic Chive","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/garlic_chive/","[6,7,8,9,10,11,12,13,14,15]","Kr48","300 Korn","[10,11,12,13,14,15,16,17,18,19,20]","4.40 g","[4,5,6,7,8]",,,
"Savoury, annual","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/savoury_annual/","[9,10,11,12]","Kr14","0.4 g","[11,12,13,14,15,16,17,18]","0.45 g","[7,8,9,10]",,,
"Cinnamon basil","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/cinnamon_basil/","[10,11]","Kr5","0.8 g","[12,13,14,15,16,17]","1.70 g","[8]",,,
"Mint-leaved bergamot","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/mint-leaved_bergamot/","[7,8,9,10]","Kr26","für ca. 450 Pflanzen","[10,11,12,13,14,15,16,17,18,19]","0.33 g","[5,6,7,8]",,,
