"name","category","url","Sow/ plant outdoors","Article number","Portion contents","Harvest","Thousand grain weight","Pre-cultivation","Plant outdoors","Sow/ plant in greenhouse","Blossoming period"
"Bionda a costa larga argentata 2","Swiss chard","https://www.reinsaat.at/shop/EN/swiss_chard/bionda_a_costa_larga_argentata_2/","[5,6,7,8,9,10,11,12]","Ma15","2.5 g","[7,8,9,10,11,12,13,14,15,16,17]","14.41 g","[3,4,5,6]",,,
"Magenta Sunset","Swiss chard","https://www.reinsaat.at/shop/EN/swiss_chard/magenta_sunset/","[7,8,9,10,11,12]","Ma20",,"[11,12,13,14,15,16,17,18]","13.43 g","[5,6,7,8,9,10,17,18]",,,
"Jessica","Swiss chard","https://www.reinsaat.at/shop/EN/swiss_chard/jessica/",,"Ma17","2.5 g","[1,2,3,4,5,6,17,18,19,20,23,24]","17.79 g",,"[11,12,13,14]",,
"Lucullus","Swiss chard","https://www.reinsaat.at/shop/EN/swiss_chard/lucullus/","[7,8,9,10,11,12]","Ma13","für ca. 150 Pflanzen","[11,12,13,14,15,16,17,18]","15.29 g","[5,6,7,8,9,10,17,18]",,,
"Alexandrine clover","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/alexandrine_clover/","[8,9,10,11,12,13,14]","Gr10",,,"3.00 g",,,,
"Broad Bean Bioro","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/broad_bean_bioro/","[4,5,6,7,8,9,10,11,12,13,14,15,16,17]","Gr16",,,"378.93 g",,,,
"Broad Bean/Peavine/Vetch Mixture","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/broad_bean_peavine_vetch_mixture/","[6,7,8,9,10,11,12,13,14,15,16,17,18]","Gr7",,,,,,,
"Crimson Clover","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/crimson_clover/","[7,8,9,10,11,12,13,14,15,16,17]","Gr8",,,"4.20 g",,,,
"Feurio","Swiss chard","https://www.reinsaat.at/shop/EN/swiss_chard/feurio/","[7,8,9,10,11,12]","CV121","3 g","[11,12,13,14,15,16,17,18]","17.61 g","[5,6,7,8,9,10,17,18]",,,
"Chinese Mallow","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/chinese_mallow_1/","[7,8,9,10,11,12]","Gr19",,,"3.41 g",,,,
"Calendula Mix","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/calendula_mix/","[6,7,8,9,10,11,12,13,14,15]","Gr18",,,"6.70 g",,,,
"Summer Vetch","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/summer_vetch/","[7,8,9,10,11,12,13,14]","Gr4",,,"57.27 g",,,,
"Winter Vetch","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/winter_vetch/","[15,16,17,18,19]","Gr2",,,,,,,
"Phacelia","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/phacelia/","[6,7,8,9,10,11,12,13,14,15,16,17]","Gr3",,,"1.72 g",,,,
"Clover Grass","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/clover_grass/","[7,8,9,10,11,12,13,14,15,16,17]","Gr9",,,,,,,
"Yellow mustard","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/yellow_mustard/","[7,8,9,10,11,12,13,14,15,16,17,18]","Gr5",,,"6.09 g",,,,
"Red Clover","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/red_clover/","[5,6,7,8,9,10,11,12,13,14,15,16,17]","Gr17",,,"1.70 g",,,,
"Sunflower","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/sunflower/","[8,9,10,11,12,13,14,15,16]","Gr14","10 Seeds",,"50.40 g",,,,
"Alfalfa","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/alfalfa/","[5,6,7,8,9,10,11,12,13,14,15,16,17,18]","Gr12",,,"2.20 g",,,,
"Peavine","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/peavine/","[6,7,8,9,10,11,12,13,14,15,16,17]","Gr6",,,"144.60 g",,,,
"Buckwheat","Green Manure","https://www.reinsaat.at/shop/EN/green_manure/buckwheat/","[8,9,10,11,12,13,14,15,16]","Gr1",,,"30.20 g",,,,
"Walliser","Swiss chard","https://www.reinsaat.at/shop/EN/swiss_chard/walliser/","[7,8,9,10,11,12]","Ma12","2.5 g","[11,12,13,14,15,16,17,18]","19.35 g","[5,6,7,8,9,10,17,18]",,,
"Tre Colori","Swiss chard","https://www.reinsaat.at/shop/EN/swiss_chard/tre_colori/","[7,8,9,10,11,12]","Ma19","2,5 g","[11,12,13,14,15,16,17,18]","13.88 g","[5,6,7,8,9,10,17,18]",,,
"Temprano de Argelia","Zucchini / Courgette","https://www.reinsaat.at/shop/EN/zucchini_courgette/temprano_de_argelia/","[10,11]","Zu16","10 Seeds","[13,14,15,16,17]","130.98 g","[8,9]",,,
"Strawberry Spinach.","Conservation varieties","https://www.reinsaat.at/shop/EN/conservation_varieties/strawberry_spinach./","[5,6,7,8,9]","CV147","0.2 g","[12,13,14,15,16]","0.75 g",,,,
"Blanche ronde a oeuf","Aubergine / Eggplants","https://www.reinsaat.at/shop/EN/aubergine_eggplants/blanche_ronde_a_oeuf/","[10,11]","Me22","30 seeds","[14,15,16,17,18,19]","3.97 g","[2,3,4,5,6]",,"[5,6,7,8,9,10]",
"Artichoke Green Globe","Conservation varieties","https://www.reinsaat.at/shop/EN/conservation_varieties/artichoke_green_globe/",,"CV41","30 Seeds","[15,16,17,18]","43.33 g","[3,4,5,6,7,8,9,10]",,,
"Baumspinat","Conservation varieties","https://www.reinsaat.at/shop/EN/conservation_varieties/baumspinat/","[4,5,6,7,8,9,10,11,12,13,14,15,16,17]","CV156","0.2 g","[8,9,10,11,12,13,14,15,16,17,18,19,20]","0.56 g",,,,
"Gartenmelde Mix Tricolor","Conservation varieties","https://www.reinsaat.at/shop/EN/conservation_varieties/gartenmelde_mix_tricolor/","[5,6,7,8,9,10]","CV155","1 g","[8,9,10,11,12,13]","2.36 g",,,,
"Ochsenherz","Carrots","https://www.reinsaat.at/shop/EN/carrots/ochsenherz/","[9,10,11]","Mö17","2.5 g","[14,15,16,17,18,19,20]","1.07 g",,,,
"Garden orache, ruby red","Conservation varieties","https://www.reinsaat.at/shop/EN/conservation_varieties/garden_orache_ruby_red/","[5,6,7,8,9,10]","CV13","für ca. 200 Pflanzen","[8,9,10,11,12,13]","2.80 g",,,,
"Luiza","Aubergine / Eggplants","https://www.reinsaat.at/shop/EN/aubergine_eggplants/luiza/","[10,11]","Me14","45 Seeds","[14,15,16,17,18,19]","4.33 g","[2,3,4,5,6]",,"[5,6,7,8,9,10]",
"Erdmandel","Conservation varieties","https://www.reinsaat.at/shop/EN/conservation_varieties/erdmandel/","[9,10,11]","CV12","22 Seeds","[19,20]","377.12 g",,,,
"Rodelika","Carrots","https://www.reinsaat.at/shop/EN/carrots/rodelika/","[8,9,10,11,12,13]","Mö11","ca. 50 Pflanzen","[14,15,16,17,18,19,20]","1.04 g",,,,
"Nantaise 2/ Milan","Carrots","https://www.reinsaat.at/shop/EN/carrots/nantaise_2_milan/","[5,6,7,8,9,10]","Mö9","2.5 g","[13,14,15,16,17,18,19]","1.15 g",,,,
"Dolciva","Carrots","https://www.reinsaat.at/shop/EN/carrots/dolciva/","[5,6,7,8,9,10,11,12]","Mö19","2.5 g","[13,14,15,16,17,18,19,20]","1.09 g",,,,
"Tramunt","New varieties 2023","https://www.reinsaat.at/shop/EN/new_varieties_2023/tramunt/","[8,9,10,11]","Zu96","40 seeds","[14,15,16,17,18]","151.00 g",,,,
"Tsakoniki","Aubergine / Eggplants","https://www.reinsaat.at/shop/EN/aubergine_eggplants/tsakoniki/","[10,11]","Me15","30 Seeds","[14,15,16,17,18,19]","4.54 g","[2,3,4,5,6]",,"[5,6,7,8,9,10]",
"Sandwich Island Common Salsify","Conservation varieties","https://www.reinsaat.at/shop/EN/conservation_varieties/sandwich_island_common_salsify/","[6,7,8]","CV14","1.4 g","[18,19,20,21,22,23,24]","11.45 g",,,,
"Rü17 RS-Rü-01.22 (Snow White)","New varieties 2023","https://www.reinsaat.at/shop/EN/new_varieties_2023/rue17_rs-rue-01.22_snow_white/","[8,9,10,11,12,13]","Rü17","5g","[13,14,15,16,17,18,19,20]","13.00 g",,,,
"Chinese Mallow","Conservation varieties","https://www.reinsaat.at/shop/EN/conservation_varieties/chinese_mallow/","[9,10]","CV94","für ca. 300 Pflanzen","[12,13,14,15,16,17,18,19]","3.44 g",,,,
"Kipflerbohne Justi","New varieties 2023","https://www.reinsaat.at/shop/EN/new_varieties_2023/kipflerbohne_justi/","[9,10,11,12]","Bo47","25 g","[13,14,15,16,17,18]","420.00 g",,,,
"RS-Me-10.19 (Nala)","Aubergine / Eggplants","https://www.reinsaat.at/shop/EN/aubergine_eggplants/rs-me-10.19_nala/","[10,11]","Me13","50 Seeds","[14,15,16,17,18,19]","4.26 g","[2,3,4,5,6]",,"[5,6,7,8,9,10]",
"Cesky Rany","Aubergine / Eggplants","https://www.reinsaat.at/shop/EN/aubergine_eggplants/cesky_rany/","[10,11]","Me20","30 seeds","[14,15,16,17,18,19]","4.53 g","[2,3,4,5,6]",,"[5,6,7,8,9,10]",
"Violetta lunga 3","Aubergine / Eggplants","https://www.reinsaat.at/shop/EN/aubergine_eggplants/violetta_lunga_3/","[10,11]","Me12","50 Seeds","[14,15,16,17,18,19]","3.80 g","[2,3,4,5,6]",,"[5,6,7,8,9,10]",
"Tetra dill","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/tetra_dill/","[5,6,7,8,9,10,11,12,13,14]","Kr18","1 g","[10,11,12,13,14,15,16,17,18]","1.85 g",,,,
"Fennel","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/fennel/","[7,8,9,10]","Kr19","10 g","[12,13,14,15,16,17]","7.27 g",,,,
"Caraway","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/caraway/","[5,6,7,8,9,10,14,15,16]","Kr41","15 g","[12,13,14,15]","3.03 g",,,,
"Large-leaved Wormwood","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/large-leaved_wormwood/","[7,8,9,10,11,12]","Kr51","0.02 g","[9,10,11,12,13,14]","0.07 g",,,,
"Dill","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/dill/","[5,6,7,8,9,10,11,12,13,14]","Kr17","für ca. 3-4m²","[10,11,12,13,14,15,16,17,18]","1.58 g",,,,
"Blue fenugreek","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/blue_fenugreek/","[7,8,9,10,11,12,13,14]","Kr29","2.5 g","[10,11,12,13,14,15,16,17]","2.20 g",,,,
"Red-vined dock","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/red-vined_dock/","[5,6,7,8,9,10]","Kr52","0.06 g","[8,9,10,11,12,13,14,15,16]","0.47 g",,,,
"Cultivated sorrel","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/cultivated_sorrel/","[5,6,7,8,9,10]","Kr49","0.3 g","[8,9,10,11,12,13,14,15,16]","0.82 g",,,,
"Chervil Magnus","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/chervil_magnus/","[5,6,7,8,9,10,11,12]","Kr20","für ca. 100 Pflanzen","[8,9,10,11,12,13,14,15,16,17,18,19]","2.50 g",,,,
"RS-Mö-02.22 (Mirella)","Carrots","https://www.reinsaat.at/shop/EN/carrots/rs-moe-02.22_mirella/","[5,6,7,8,9,10,11,12]","Mö24","2.5 g","[13,14,15,16,17,18,19,20]","1.60 g",,,"[1,2,3,4]",
"Small burnet/ Pimpinelle","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/small_burnet_pimpinelle/","[6,7,8,9,10,11,12,13,14,15,16]","Kr27","2 g","[10,11,12,13,14,15,16,17,18]","8.26 g",,,,
"Kono","Aubergine / Eggplants","https://www.reinsaat.at/shop/EN/aubergine_eggplants/kono/","[10,11]","Me17","45 Seeds","[14,15,16,17,18,19]","4.15 g","[2,3,4,5,6]",,"[5,6,7,8,9,10]",
"Purple Tomatillo","Conservation varieties","https://www.reinsaat.at/shop/EN/conservation_varieties/purple_tomatillo/",,"CV34","50 Seeds","[15,16,17,18,19]","1.79 g","[6,7]","[10,11]",,
"Blue Kuri","New varieties 2023","https://www.reinsaat.at/shop/EN/new_varieties_2023/blue_kuri/","[10,11]","Kü43","8 seeds","[16,17,18,19,20]","187.00 g","[7,8,9]",,,
